epoch,util_pct,mem_mib
1790386346,5,2322
1790386352,1,2322
1790386358,17,2316
1790386364,27,2319
1790386370,18,2320
1790386375,9,2314
1790386380,18,2314
1790386386,18,2315
1790386391,31,2315
1790386396,27,2314
1790386402,23,2314
1790386407,27,2319
1790386414,18,2317
1790386419,17,2317
1790386425,9,2317
1790386430,18,2318
1790386435,27,2318
1790386441,14,2318
1790386446,17,2318
1790386451,18,2324
1790386457,9,2330
1790386462,8,2331
1790386468,9,2318
1790386473,9,2330
1790386479,26,2329
1790386484,18,2318
1790386489,26,2391
1790386495,19,2425
1790386500,19,2411
1790386505,20,2451
1790386510,25,3748
1790386516,9,5183
1790386521,17,2851
1790386527,21,2728
1790386532,20,2851
1790386537,23,2905
1790386542,27,2961
1790386548,11,2953
1790386553,25,2851
1790386558,10,3008
1790386564,22,2993
1790386569,11,2773
1790386574,20,2758
1790386580,10,2945
1790386585,19,2913
1790386591,11,2773
1790386596,23,2813
1790386601,27,2935
1790386606,39,2898
1790386612,24,2832
1790386617,10,2969
1790386622,14,2958
1790386628,11,2920
1790386633,20,2890
1790386638,32,2994
1790386644,30,2817
1790386649,20,2806
1790386654,18,2989
1790386660,23,2993
1790386665,15,2772
1790386670,12,2802
1790386675,32,2995
1790386681,11,2958
1790386686,11,2802
1790386692,15,2862
1790386697,28,2987
1790386703,24,2833
1790386708,31,2760
1790386713,23,2994
1790386719,9,2747
1790386724,15,2814
1790386729,24,2805
1790386735,22,2992
1790386740,11,2819
1790386745,15,2751
1790386751,20,2943
1790386756,10,2870
1790386761,23,2886
1790386766,21,3219
1790386772,19,2995
1790386777,15,2963
1790386782,12,2928
